City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,11.01,87,22,8.05,NZ,1728513667
1,adamstown,-25.066,-130.1015,20.47,76,71,8.12,PN,1728513669
2,aykhal,66.0,111.5,-12.18,100,98,1.72,RU,1728513670
3,lhasa,29.65,91.1,7.28,72,10,2.13,CN,1728513671
4,ilulissat,69.2167,-51.1,1.01,93,100,0.0,GL,1728513498
5,cabo san lucas,22.8909,-109.9124,32.17,51,75,4.63,MX,1728513673
6,blackmans bay,-43.0167,147.3167,17.07,54,29,4.02,AU,1728513675
7,hovd,48.0056,91.6419,6.86,37,16,2.54,MN,1728513676
8,isafjordur,66.0755,-23.124,-0.5,90,87,3.81,IS,1728513677
9,kyneton,-37.25,144.4333,11.76,64,57,4.69,AU,1728513678
10,west island,-12.1568,96.8225,25.99,83,75,6.69,CC,1728513680
11,lorengau,-2.0226,147.2712,28.94,74,97,3.5,PG,1728513681
12,vorgashor,67.5833,63.95,-7.53,96,25,2.62,RU,1728513682
13,hawaiian paradise park,19.5933,-154.9731,28.83,70,0,5.14,US,1728513683
14,bredasdorp,-34.5322,20.0403,15.85,90,97,2.0,ZA,1728513684
15,jamestown,42.097,-79.2353,11.8,62,100,5.66,US,1728513417
16,grytviken,-54.2811,-36.5092,-2.63,95,100,1.1,GS,1728513686
17,port-aux-francais,-49.35,70.2167,0.7,56,100,10.44,TF,1728513687
18,udachny,66.4167,112.4,-15.24,100,69,1.55,RU,1728513688
19,ribeira grande,38.5167,-28.7,22.1,92,52,0.45,PT,1728513689
20,albany,42.6001,-73.9662,11.23,68,74,0.89,US,1728513691
21,xinyuan,37.3,99.0,-2.08,86,91,0.19,CN,1728513553
22,laayoune,27.1622,-13.2032,21.19,100,55,5.14,EH,1728513693
23,puerto ayora,-0.7393,-90.3518,21.42,93,83,5.36,EC,1728513694
24,margaret river,-33.95,115.0667,8.99,76,25,4.67,AU,1728513695
25,iqaluit,63.7506,-68.5145,1.85,87,100,4.12,CA,1728513696
26,invercargill,-46.4,168.35,9.45,76,98,3.13,NZ,1728513697
27,yemetsk,63.4721,41.7941,-1.26,71,11,3.43,RU,1728513698
28,el calafate,-50.3408,-72.2768,7.86,73,46,8.94,AR,1728513699
29,ushuaia,-54.8,-68.3,10.81,66,75,4.63,AR,1728513673
